         896531 function calls (893820 primitive calls) in 628.787 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.000    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\parameters\mixins.py:17(_get_parameters)
       18    0.000    0.000    4.350    0.242 C:\Users\brike\Desktop\Algoritma\src\visualize_tree.py:74(render_with_timeout)
       36    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\_weakrefset.py:85(add)
       55    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py:237(_format_parsed_parts)
       72    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1497(debug)
       18    0.000    0.000    0.007    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\_tools.py:42(mkdirs)
       72    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1764(isEnabledFor)
       18    0.000    0.000    0.001    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_abc.py:222(with_suffix)
      144    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       18    0.000    0.000    0.001    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\parameters\renderers.py:45(__init__)
       36    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:1047(_delete)
       54    0.000    0.000    0.001    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:481(_exit_wrapper)
       54    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py:166(__fspath__)
       54    0.000    0.000    0.002    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py:252(_from_parsed_string)
       54    0.000    0.000    0.003    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py:346(name)
       18    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py:320(parts)
       37    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py:277(_raw_path)
       21    0.000    0.000    0.000    0.000 C:\Users\brike\Desktop\Algoritma\src\reference_avl_tree.py:101(left_rotate)
       18    0.000    0.000    0.001    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\parameters\formats.py:67(__init__)
       36    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:1160(daemon)
       72    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:303(__enter__)
       54    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:552(_push_exit_callback)
       20    0.000    0.000    0.000    0.000 C:\Users\brike\Desktop\Algoritma\src\reference_avl_tree.py:113(right_rotate)
